location,price,type_of_flat
" Можайское ш., 26 Одинцово",1800засутки,"2-к квартира, 56 м², 5/5 эт."
" Северная улица, 5к4 Одинцово",2500засутки,"3-к квартира, 85 м², 7/24 эт."
" ул. Говорова, 26 Одинцово",41000вмесяц,"2-к квартира, 65 м², 3/17 эт."
" Каштановая ул., 6 Одинцово",23000вмесяц,"Студия, 22 м², 4/12 эт."
" Можайское ш., 161 Одинцово",26000вмесяц,"1-к квартира, 38 м², 1/17 эт."
" ул. Маковского, 16 Одинцово",38000вмесяц,"2-к квартира, 60 м², 3/22 эт.Онлайн-показ"
" б-р Маршала Крылова, 6 Одинцово",40000вмесяц,"2-к квартира, 51 м², 4/17 эт."
" ул. Говорова, 26 Одинцово",35000вмесяц,"2-к квартира, 52 м², 4/15 эт.Онлайн-показ"
" ул. Чистяковой, 68 Одинцово",2500засутки,"1-к квартира, 40 м², 7/20 эт."
" Красногорское ш., 4 Одинцово",50000вмесяц,"4-к квартира, 136 м², 10/17 эт."
" ул. Чистяковой, 2 Одинцово",33000вмесяц,"3-к квартира, 73 м², 2/16 эт."
" Триумфальная ул., 8 Одинцово",28000вмесяц,"1-к квартира, 45 м², 8/16 эт."
" Северная ул., 5к3 Одинцово",30000вмесяц,"Студия, 32 м², 13/24 эт."
" Триумфальная ул., 7 Одинцово",28000вмесяц,"1-к квартира, 42 м², 15/17 эт.Онлайн-показ"
" ул. Говорова, 52 Одинцово",25000вмесяц,"1-к квартира, 45 м², 7/12 эт."
 жилой комплекс Гусарская Баллада Одинцово,33000вмесяц,"1-к квартира, 41.5 м², 15/17 эт."
" Садовая ул., 28А Одинцово",27000вмесяц,"1-к квартира, 52 м², 23/24 эт."
" Можайское ш., 70 Одинцово",45000вмесяц,"3-к квартира, 60 м², 2/9 эт."
" Можайское ш., 26 Одинцово",2000засутки,"1-к квартира, 50 м², 2/5 эт."
" Можайское ш., 19 Одинцово",27000вмесяц,"2-к квартира, 46 м², 4/5 эт."
" Сколковская ул., 5А Одинцово",1700засутки,"2-к квартира, 45 м², 17/26 эт."
" Каштановая ул., 6 Одинцово",37000вмесяц,"2-к квартира, 53.1 м², 4/12 эт."
" ул. Чистяковой, 68 Одинцово",2000засутки,"2-к квартира, 60 м², 13/20 эт."
" Сколковская ул., 3В Одинцово",26000вмесяц,"Студия, 16 м², 1/21 эт.Онлайн-показ"
" Белорусская ул., 13 Одинцово",25000вмесяц,"1-к квартира, 33 м², 11/19 эт."
" Северная ул., 5к2 Одинцово",22000вмесяц,"Студия, 24 м², 6/25 эт."
" Союзная ул., 10 Одинцово",28000вмесяц,"1-к квартира, 35 м², 2/12 эт.Онлайн-показ"
" Сколковская ул., 1В Одинцово",65000вмесяц,"3-к квартира, 83 м², 21/24 эт."
" ул. Говорова, 50 Одинцово",30000вмесяц,"1-к квартира, 38 м², 4/17 эт."
" Северная ул., 24 Одинцово",25000вмесяц,"1-к квартира, 38 м², 1/9 эт."
" Московская область, Одинцово, Северная улица, 5к4 Одинцово",27000вмесяц,"Студия, 36 м², 8/22 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 10 Одинцово",30000вмесяц,"1-к квартира, 38 м², 20/22 эт."
" ул. Чикина, 12 Одинцово",60000вмесяц,"3-к квартира, 120 м², 5/18 эт.Онлайн-показ"
" Триумфальная ул., 8 Одинцово",55000вмесяц,"3-к квартира, 82 м², 4/17 эт.Онлайн-показ"
" 1-я Вокзальная ул., 43 Одинцово",18000вмесяц,"Студия, 20 м², 1/2 эт.Онлайн-показ"
" Можайское ш., 161 Одинцово",28000вмесяц,"1-к квартира, 37.9 м², 12/17 эт."
" Московская область, Одинцово, Каштановая улица, 2 Одинцово",31000вмесяц,"1-к квартира, 38 м², 17/25 эт."
" Северная ул., 5к4 Одинцово",2200засутки,"1-к квартира, 40 м², 6/24 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 35 Одинцово",999засутки,"Студия, 23 м², 4/19 эт."
" б-р Любы Новосёловой, 3к1 Одинцово",1500засутки,"1-к квартира, 40 м², 7/9 эт."
" ул. Чистяковой, 2 Одинцово",20000вмесяц,"Студия, 29 м², 2/3 эт.Онлайн-показ"
" Белорусская ул., 13 Одинцово",1700засутки,"Студия, 37 м², 3/22 эт."
" ул. Говорова, 50 Одинцово",28000вмесяц,"1-к квартира, 37.5 м², 8/17 эт."
" Северная ул., 5к4 Одинцово",1800засутки,"1-к квартира, 38 м², 4/24 эт."
" Молодёжная ул., 18 Одинцово",26000вмесяц,"1-к квартира, 25 м², 2/5 эт."
" Ново-Спортивная ул., 6 Одинцово",2300засутки,"1-к квартира, 45 м², 7/12 эт."
 можайское шоссе 24 Одинцово,1590засутки,"1-к квартира, 37 м², 1/9 эт."
" Северная ул., 5к2 Одинцово",30000вмесяц,"Студия, 38 м², 9/24 эт.Онлайн-показ"
" Триумфальная ул., 5 Одинцово",26000вмесяц,"1-к квартира, 46 м², 10/16 эт."
" Сколковская ул., 7А Одинцово",23000вмесяц,"Студия, 22 м², 4/21 эт.Онлайн-показ"
" Солнечная ул., 17А Одинцово",32000вмесяц,"2-к квартира, 67 м², 21/22 эт."
" Белорусская ул., 13 Одинцово",25000вмесяц,"1-к квартира, 31 м², 11/22 эт.Онлайн-показ"
" Красногорское ш., 8к3 Одинцово",40000вмесяц,"3-к квартира, 80 м², 10/17 эт."
" ул. Чистяковой, 68 Одинцово",2500засутки,"1-к квартира, 40 м², 7/20 эт."
" Сколковская ул., 7А Одинцово",23000вмесяц,"Студия, 22 м², 4/21 эт.Онлайн-показ"
" Триумфальная ул., 4 Одинцово",22000вмесяц,"1-к квартира, 37 м², 10/16 эт."
" Можайское ш., 98 Одинцово",30000вмесяц,"2-к квартира, 42 м², 3/5 эт."
" Северная ул., 5к2 Одинцово",22000вмесяц,"Студия, 24 м², 6/25 эт."
" ул. Маршала Неделина, 7 Одинцово",30000вмесяц,"2-к квартира, 48 м², 4/12 эт."
" ул. Маковского, 16 Одинцово",2000засутки,"2-к квартира, 65 м², 7/24 эт."
" пр. Луначарского, 12 Одинцово",25000вмесяц,"2-к квартира, 55 м², 2/2 эт.Онлайн-показ"
" ул. Чикина, 2 Одинцово",37000вмесяц,"2-к квартира, 57 м², 11/16 эт."
" Белорусская ул., 13 Одинцово",1700засутки,"Студия, 37 м², 3/22 эт."
" Триумфальная ул., 4 Одинцово",38000вмесяц,"2-к квартира, 83 м², 13/17 эт."
" Северная ул., 5к4 Одинцово",20000вмесяц,"1-к квартира, 25 м², 19/24 эт.Онлайн-показ"
" ул. Чистяковой, 84 Одинцово",25000вмесяц,"1-к квартира, 40 м², 21/22 эт.Онлайн-показ"
" ул. Чистяковой, 42 Одинцово",27000вмесяц,"2-к квартира, 40 м², 18/20 эт.Онлайн-показ"
" Можайское ш., 32 Одинцово",48000вмесяц,"3-к квартира, 70 м², 4/9 эт."
" Можайское ш., 24 Одинцово",25000вмесяц,"1-к квартира, 31 м², 6/9 эт.Онлайн-показ"
" 9-й микрорайон, Белорусская ул., 9 Одинцово",22000вмесяц,"1-к квартира, 30 м², 10/25 эт."
" ул. Чистяковой, 6 Одинцово",27000вмесяц,"1-к квартира, 42 м², 22/24 эт.Онлайн-показ"
" Можайское ш., 91 Одинцово",35000вмесяц,"2-к квартира, 61 м², 1/17 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 17 Одинцово",38000вмесяц,"2-к квартира, 60 м², 5/22 эт."
" Можайское ш., 80А Одинцово",40000вмесяц,"2-к квартира, 64 м², 10/22 эт.Онлайн-показ"
" Московская область, Одинцово, бульвар Любы Новосёловой, 2А Одинцово",37000вмесяц,"3-к квартира, 71 м², 6/9 эт."
" б-р Маршала Крылова, 6 Одинцово",35000вмесяц,"2-к квартира, 51 м², 8/17 эт."
" Можайское ш., 26 Одинцово",1800засутки,"2-к квартира, 56 м², 5/5 эт."
" Рябиновая ул., 1к1 Одинцово",28000вмесяц,"2-к квартира, 50 м², 4/25 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 21 Одинцово",30000вмесяц,"1-к квартира, 40 м², 3/17 эт."
" Каштановая ул., 6 Одинцово",2000засутки,"Студия, 16.1 м², 5/25 эт."
" ул. Говорова, 40 Одинцово",35000вмесяц,"3-к квартира, 75 м², 5/14 эт."
" Московская область, Одинцово, Северная улица, 5к1 Одинцово",30000вмесяц,"1-к квартира, 45 м², 19/25 эт."
" ул. Маршала Жукова, 5 Одинцово",30000вмесяц,"2-к квартира, 42 м², 3/5 эт."
" б-р Любы Новосёловой, 12А Одинцово",45000вмесяц,"2-к квартира, 78 м², 4/18 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 9 Одинцово",38000вмесяц,"2-к квартира, 62 м², 8/17 эт."
" Московская область, Одинцово, Гвардейская улица, 9 Одинцово",25000вмесяц,"1-к квартира, 40 м², 7/24 эт."
" Можайское ш., 99 Одинцово",35000вмесяц,"3-к квартира, 58 м², 4/9 эт."
" Садовая ул., 24 Одинцово",75000вмесяц,"2-к квартира, 65 м², 17/24 эт."
" Сколковская ул., 1Б Одинцово",28000вмесяц,"1-к квартира, 43 м², 5/25 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 31 Одинцово",22000вмесяц,"1-к квартира, 42 м², 4/19 эт."
" ул. Говорова, 50 Одинцово",1500засутки,"1-к квартира, 40 м², 9/17 эт."
" Триумфальная ул., 7 Одинцово",28000вмесяц,"1-к квартира, 42 м², 15/17 эт.Онлайн-показ"
" б-р Любы Новосёловой, 3к1 Одинцово",1500засутки,"1-к квартира, 40 м², 7/9 эт."
" Московская область, Одинцово, Глазынинская улица, 26 Одинцово",50000вмесяц,"2-к квартира, 68 м², 8/19 эт."
" ул. Чистяковой, 18 Одинцово",22000вмесяц,"1-к квартира, 20 м², 1/23 эт."
" ул. Чистяковой, 6 Одинцово",49000вмесяц,"Студия, 45 м², 15/24 эт."
" ул. Чистяковой, 58 Одинцово",25000вмесяц,"1-к квартира, 42 м², 12/17 эт."
" Северная ул., 5к4 Одинцово",2200засутки,"Студия, 32 м², 9/22 эт."
" ул. Чистяковой, 18 Одинцово",45000вмесяц,"3-к квартира, 76 м², 12/17 эт.Онлайн-показ"
" Одинцово, Московская область, Триумфальная улица, 5 Одинцово",33000вмесяц,"2-к квартира, 65 м², 4/12 эт."
" Московская область, Одинцово, Верхне-Пролетарская улица, 16 Одинцово",31600вмесяц,"1-к квартира, 41.4 м², 5/9 эт."
" Сколковская ул., 1Г Одинцово",38000вмесяц,"1-к квартира, 47 м², 13/25 эт."
" Сколковская ул., 1Б Одинцово",40000вмесяц,"2-к квартира, 60 м², 23/25 эт."
" ул. Маршала Жукова, 49 Одинцово",1400засутки,"1-к квартира, 38 м², 7/16 эт."
" Северная ул., 8 Одинцово",38000вмесяц,"3-к квартира, 63 м², 8/14 эт."
" ул. Дениса Давыдова, 8 пос. ВНИИССОК",2300засутки,"1-к квартира, 49 м², 1/17 эт."
" Каштановая ул., 10 Одинцово",1500засутки,"1-к квартира, 38 м², 17/25 эт."
" Сколковская ул., 1Г Одинцово",43000вмесяц,"2-к квартира, 65 м², 14/22 эт."
" Белорусская ул., 9 Одинцово",20000вмесяц,"Студия, 28 м², 10/22 эт.Онлайн-показ"
" микрорайон Новая Трёхгорка, Кутузовская ул., 1 Одинцово",25000вмесяц,"1-к квартира, 43 м², 5/17 эт.Онлайн-показ"
" Сколковская ул., 3В Одинцово",30000вмесяц,"2-к квартира, 72 м², 1/25 эт."
" Московская область, Одинцово, Можайское шоссе, 91 Одинцово",35000вмесяц,"2-к квартира, 60 м², 8/17 эт."
" Белорусская ул., 10 Одинцово",2900засутки,"1-к квартира, 50 м², 2/24 эт."
 союзная 4 Одинцово,1900засутки,"1-к квартира, 45 м², 8/22 эт."
" Каштановая ул., 2 Одинцово",20000вмесяц,"Студия, 20 м², 9/25 эт."
" Московская область, Одинцово, Сосновая улица, 28 Одинцово",25000вмесяц,"1-к квартира, 38 м², 8/9 эт."
" Можайское ш., 143 Одинцово",1500засутки,"1-к квартира, 39 м², 8/16 эт."
" ул. Маршала Жукова, 25к1 Одинцово",24000вмесяц,"1-к квартира, 35 м², 7/10 эт."
" Северная ул., 24 Одинцово",27000вмесяц,"1-к квартира, 37.6 м², 7/14 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 15 Одинцово",26000вмесяц,"1-к квартира, 44.4 м², 10/24 эт."
" ул. Говорова, 26 Одинцово",41000вмесяц,"2-к квартира, 65 м², 3/17 эт."
" Можайское ш., 92 Одинцово",2000засутки,"2-к квартира, 58 м², 3/5 эт."
" Молодёжная ул., 22 Одинцово",35000вмесяц,"1-к квартира, 34 м², 5/5 эт.Онлайн-показ"
" Московская область, Одинцово, Северная улица, 55 Одинцово",40000вмесяц,"1-к квартира, 48 м², 5/9 эт."
" Можайское ш., 23 Одинцово",25000вмесяц,"2-к квартира, 44 м², 3/5 эт.Онлайн-показ"
" Можайское ш., 34 Одинцово",1900засутки,"1-к квартира, 39 м², 9/17 эт."
" Можайское ш., 26 Одинцово",2000засутки,"1-к квартира, 50 м², 2/5 эт."
" ул. Говорова, 26 Одинцово",35000вмесяц,"2-к квартира, 52 м², 4/15 эт.Онлайн-показ"
" Северная ул., 24 Одинцово",27000вмесяц,"1-к квартира, 39 м², 1/14 эт."
" ул. Маршала Бирюзова, 28к2 Одинцово",30000вмесяц,"1-к квартира, 35 м², 7/12 эт."
" ул. Маковского, 26 Одинцово",3000засутки,"2-к квартира, 48 м², 8/25 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 23 Одинцово",35000вмесяц,"1-к квартира, 46 м², 19/19 эт."
" Северная ул., 5к1 Одинцово",35000вмесяц,"1-к квартира, 40 м², 3/21 эт.Онлайн-показ"
" Московская область, Одинцово, Каштановая улица, 6 Одинцово",25000вмесяц,"1-к квартира, 34.2 м², 21/25 эт."
" б-р Любы Новосёловой, 15 Одинцово",33000вмесяц,"2-к квартира, 43 м², 5/5 эт."
" ул. Маршала Неделина, 15 Одинцово",50000вмесяц,"2-к квартира, 91 м², 12/14 эт."
" Белорусская ул., 13 Одинцово",25000вмесяц,"Студия, 30 м², 2/24 эт."
" ул. Говорова, 50 Одинцово",28000вмесяц,"1-к квартира, 37.5 м², 8/17 эт."
" Северная ул., 24 Одинцово",25000вмесяц,"1-к квартира, 38 м², 1/9 эт."
" Молодёжная ул., 22 Одинцово",25000вмесяц,"1-к квартира, 33 м², 3/5 эт."
" ул. Маршала Бирюзова, 2А Одинцово",35000вмесяц,"2-к квартира, 55 м², 7/25 эт."
" Белорусская ул., 8 Одинцово",26000вмесяц,"1-к квартира, 32 м², 19/22 эт.Онлайн-показ"
" б-р Маршала Крылова, 1 Одинцово",32000вмесяц,"2-к квартира, 54 м², 9/9 эт.Онлайн-показ"
" ул. Чистяковой, 12 Одинцово",2600засутки,"1-к квартира, 42 м², 5/16 эт."
" ул. Чистяковой, 58 Одинцово",40000вмесяц,"2-к квартира, 60 м², 11/17 эт."
" Сколковская ул., 1В Одинцово",25000вмесяц,"Студия, 28 м², 2/14 эт."
 Северная ул. Одинцово,2500засутки,"2-к квартира, 60 м², 5/24 эт."
" жилой комплекс Одинцово-1, 1/11 Одинцово",30000вмесяц,"1-к квартира, 40 м², 2/22 эт.Онлайн-показ"
 Южная ул. Одинцово,25000вмесяц,"2-к квартира, 50 м², 2/2 эт."
" ул. Говорова, 85 Одинцово",35000вмесяц,"1-к квартира, 44 м², 5/7 эт.Онлайн-показ"
" Комсомольская ул., 11 Одинцово",29000вмесяц,"1-к квартира, 40 м², 9/25 эт.Онлайн-показ"
" ул. Маршала Жукова, 34А Одинцово",35000вмесяц,"2-к квартира, 52 м², 2/17 эт."
" Белорусская ул., 10 Одинцово",22000вмесяц,"Студия, 20 м², 3/18 эт.Онлайн-показ"
 Одинцово ул Кутузовская д 15 Одинцово,30000вмесяц,"1-к квартира, 43 м², 9/24 эт."
 64 д. Глазынино,2000засутки,"2-к квартира, 50 м², 2/4 эт."
" Московская область, Одинцово, Рябиновая улица, 1 Одинцово",25000вмесяц,"1-к квартира, 42 м², 9/14 эт."
" Сколковская ул., 3В Одинцово",30000вмесяц,"2-к квартира, 72 м², 1/25 эт."
" Мичуринская ул., 44 садоводческое некоммерческое товарищество 40 лет Октября",30000вмесяц,"2-к квартира, 50 м², 2/2 эт.Онлайн-показ"
" Северная ул., 5к3 Одинцово",40000вмесяц,"2-к квартира, 50 м², 13/24 эт."
" ул. Говорова, 30 Одинцово",30000вмесяц,"2-к квартира, 50 м², 5/17 эт.Онлайн-показ"
" микрорайон Новая Трёхгорка, Кутузовская ул., 4А Одинцово",2000засутки,"1-к квартира, 45 м², 12/17 эт."
" территория Бор, 4 д. Одинцово",17000вмесяц,"1-к квартира, 31 м², 4/4 эт."
" Белорусская ул., 10 Одинцово",25000вмесяц,"1-к квартира, 33.5 м², 15/18 эт."
" ул. Маковского, 24 Одинцово",4500засутки,"3-к квартира, 75 м², 20/25 эт."
" Каштановая ул., 2 Одинцово",30000вмесяц,"2-к квартира, 50 м², 16/25 эт."
" ул. Маковского, 26 Одинцово",25000вмесяц,"1-к квартира, 39 м², 3/25 эт."
 9-й микрорайон Одинцово,38000вмесяц,"2-к квартира, 50 м², 18/20 эт.Онлайн-показ"
" ул. Маршала Неделина, 7 Одинцово",30000вмесяц,"2-к квартира, 48 м², 4/12 эт."
" ул. Маршала Жукова, 5 Одинцово",25000вмесяц,"1-к квартира, 37 м², 3/5 эт.Онлайн-показ"
" Северная ул., 5к3 Одинцово",27000вмесяц,"1-к квартира, 39 м², 6/24 эт.Онлайн-показ"
" Северная ул., 5к2 Одинцово",2000засутки,"2-к квартира, 50 м², 11/25 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 23 Одинцово",24990вмесяц,"Студия, 30 м², 17/19 эт.Онлайн-показ"
" Сколковская ул., 1Б Одинцово",33000вмесяц,"1-к квартира, 36.4 м², 4/25 эт."
" б-р Маршала Крылова, 16 Одинцово",35000вмесяц,"2-к квартира, 77 м², 7/17 эт.Онлайн-показ"
 ул Маршала Жукова Одинцово,2000засутки,"2-к квартира, 50 м², 2/5 эт."
" микрорайон Новая Трёхгорка, Одинцово, Московская область, Кутузовская улица, 4 Одинцово",31000вмесяц,"2-к квартира, 61 м², 16/17 эт."
" ул. Говорова, 83 Одинцово",70000вмесяц,"4-к квартира, 80 м², 7/7 эт."
" ул. Маршала Жукова, 37 Одинцово",30000вмесяц,"2-к квартира, 45 м², 5/5 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 7 Одинцово",32000вмесяц,"1-к квартира, 40.1 м², 4/24 эт."
" Сколковская ул., 1Б Одинцово",28000вмесяц,"1-к квартира, 43 м², 5/25 эт."
" Сосновая ул., 24 Одинцово",25000вмесяц,"1-к квартира, 36 м², 8/12 эт."
" ул. Чистяковой, 2 Одинцово",40000вмесяц,"2-к квартира, 62 м², 5/23 эт."
" Верхне-Пролетарская ул., 7 Одинцово",54950вмесяц,"3-к квартира, 80 м², 26/27 эт."
" Белорусская ул., 13 Одинцово",2600засутки,"1-к квартира, 48 м², 9/22 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 10 Одинцово",40000вмесяц,"3-к квартира, 62 м², 10/22 эт.Онлайн-показ"
" Можайское ш., 116 Одинцово",35000вмесяц,"2-к квартира, 48 м², 3/5 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 72В Одинцово",43000вмесяц,"3-к квартира, 74 м², 25/25 эт."
" б-р Любы Новосёловой, 15 Одинцово",33000вмесяц,"2-к квартира, 43 м², 5/5 эт."
" ул. Чистяковой, 6 Одинцово",49000вмесяц,"1-к квартира, 45 м², 15/26 эт."
" Можайское ш., 92 Одинцово",2000засутки,"2-к квартира, 58 м², 3/5 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 3 Одинцово",35000вмесяц,"2-к квартира, 56 м², 8/20 эт."
" Можайское ш., 112А Одинцово",80000вмесяц,"4-к квартира, 110 м², 10/19 эт."
" Можайское ш., 143 Одинцово",1500засутки,"1-к квартира, 39 м², 8/16 эт."
 Верхне-Пролетарская ул. Одинцово,35000вмесяц,"1-к квартира, 43 м², 10/27 эт."
" Вокзальная ул., 35 Одинцово",25000вмесяц,"1-к квартира, 34 м², 8/9 эт.Онлайн-показ"
" Гвардейская ул., 9 Одинцово",26000вмесяц,"1-к квартира, 43 м², 8/17 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 7 Одинцово",30000вмесяц,"1-к квартира, 40 м², 2/22 эт.Онлайн-показ"
" Молодёжная ул., 22 Одинцово",35000вмесяц,"1-к квартира, 34 м², 5/5 эт.Онлайн-показ"
" Можайское ш., 1 Одинцово",24000вмесяц,"1-к квартира, 35 м², 1/5 эт."
" Триумфальная ул., 7 Одинцово",23000вмесяц,"1-к квартира, 42 м², 5/17 эт.Онлайн-показ"
" Триумфальная ул., 1 Одинцово",1900засутки,"1-к квартира, 25 м², 1/12 эт."
" Сколковская ул., 3В Одинцово",26000вмесяц,"Студия, 16 м², 1/21 эт.Онлайн-показ"
" Можайское ш., 45А Одинцово",35000вмесяц,"1-к квартира, 38 м², 10/17 эт."
" Союзная ул., 6к2 Одинцово",35000вмесяц,"2-к квартира, 50 м², 8/12 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 10 Одинцово",40000вмесяц,"3-к квартира, 62 м², 10/22 эт.Онлайн-показ"
" Сколковская ул., 3Б Одинцово",2000засутки,"2-к квартира, 60 м², 5/5 эт."
" Триумфальная ул., 4 Одинцово",23000вмесяц,"1-к квартира, 37 м², 2/14 эт.Онлайн-показ"
" ул. Говорова, 50 Одинцово",38000вмесяц,"2-к квартира, 53 м², 2/17 эт."
" Каштановая ул., 10к1 Одинцово",40000вмесяц,"2-к квартира, 61 м², 9/25 эт."
" Можайское ш., 38Г Одинцово",43000вмесяц,"3-к квартира, 100 м², 14/24 эт.Онлайн-показ"
" Вокзальная ул., 33 Одинцово",30000вмесяц,"3-к квартира, 57 м², 7/9 эт."
" ул. Маковского, 10 Одинцово",1357засутки,"1-к квартира, 39 м², 6/12 эт."
" Рублёвский пр., 21 с. Немчиновка",52000вмесяц,"3-к квартира, 54.5 м², 4/4 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 9 Одинцово",41000вмесяц,"2-к квартира, 60 м², 15/17 эт."
" Советская ул., 1 Одинцово",1700засутки,"Студия, 22 м², 13/16 эт."
 территория Бор д. Одинцово,20000вмесяц,"1-к квартира, 35 м², 4/4 эт."
" ул. Чистяковой, 40 Одинцово",25000вмесяц,"1-к квартира, 45 м², 14/24 эт.Онлайн-показ"
" Советская ул., 1 Одинцово",1800засутки,"1-к квартира, 40 м², 6/14 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 7 Одинцово",30000вмесяц,"1-к квартира, 40 м², 2/22 эт.Онлайн-показ"
" Можайское ш., 143 Одинцово",25000вмесяц,"1-к квартира, 40 м², 14/16 эт."
" Московская область, Одинцово, Каштановая улица, 2 Одинцово",36200вмесяц,"1-к квартира, 38.3 м², 7/25 эт."
" ул. Чистяковой, 14 Одинцово",42000вмесяц,"3-к квартира, 68 м², 6/24 эт."
" Ново-Спортивная ул., 4к3 Одинцово",75000вмесяц,"3-к квартира, 134 м², 3/14 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 74Б Одинцово",26000вмесяц,"1-к квартира, 40 м², 8/25 эт."
" б-р Любы Новосёловой, 12А Одинцово",45000вмесяц,"2-к квартира, 75 м², 4/18 эт."
" Белорусская ул., 6 Одинцово",42000вмесяц,"3-к квартира, 65 м², 21/22 эт.Онлайн-показ"
 территория Бор д. Одинцово,20000вмесяц,"1-к квартира, 34 м², 2/4 эт."
" Одинцово, Московская область, Сосновая улица, 26 Одинцово",40000вмесяц,"3-к квартира, 60 м², 5/9 эт."
" Московская область, Одинцово, Каштановая улица, 10к1 Одинцово",38100вмесяц,"2-к квартира, 53.6 м², 15/25 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 10 Одинцово",30000вмесяц,"1-к квартира, 38 м², 20/22 эт."
" Северная улица, 5к4 Одинцово",2500засутки,"3-к квартира, 85 м², 7/24 эт."
" Северная ул., 5к4 Одинцово",2000засутки,"1-к квартира, 23 м², 8/24 эт."
" Сколковская ул., 1Г Одинцово",35000вмесяц,"1-к квартира, 42 м², 3/25 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 33 Одинцово",2000засутки,"2-к квартира, 65 м², 12/19 эт."
" Белорусская ул., 3 Одинцово",40000вмесяц,"2-к квартира, 70 м², 12/19 эт."
" Северная ул., 5к4 Одинцово",2200засутки,"1-к квартира, 40 м², 6/24 эт."
" Московская область, Одинцово, Каштановая улица, 12 Одинцово",27000вмесяц,"1-к квартира, 33.7 м², 13/25 эт."
 33к1 пос. Горки-10,2500засутки,"1-к квартира, 41 м², 15/17 эт."
" Триумфальная ул., 8 Одинцово",28000вмесяц,"1-к квартира, 45 м², 8/16 эт."
" Союзная ул., 6к2 Одинцово",30000вмесяц,"1-к квартира, 38 м², 1/12 эт."
" ул. Чистяковой, 2 Одинцово",45000вмесяц,"3-к квартира, 76 м², 15/23 эт.Онлайн-показ"
" ул. Чистяковой, 76 Одинцово",35000вмесяц,"2-к квартира, 60 м², 15/17 эт.Онлайн-показ"
" Белорусская ул., 10 Одинцово",3000засутки,"2-к квартира, 48 м², 6/20 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 4А Одинцово",2000засутки,"1-к квартира, 45 м², 12/17 эт."
" Мичуринская ул., 44 садоводческое некоммерческое товарищество 40 лет Октября",30000вмесяц,"2-к квартира, 50 м², 2/2 эт.Онлайн-показ"
" Белорусская ул., 10 Одинцово",25000вмесяц,"1-к квартира, 33.5 м², 15/18 эт."
" Сколковская ул., 3А Одинцово",2780засутки,"1-к квартира, 38 м², 20/24 эт."
 Гвардейская ул. Одинцово,24000вмесяц,"Студия, 30 м², 10/25 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 2 Одинцово",30000вмесяц,"2-к квартира, 62 м², 16/24 эт."
" Московская область, Одинцово, Можайское шоссе, 122 Одинцово",80000вмесяц,"2-к квартира, 50 м², 6/24 эт."
